Baths,Beds,HOA,SQFT,cashflow,citystatezip,insurance,mortgage_pmt,price,price_estimate,rent,search_date,street,tax,total_pmt,year_built,zipcode
1,1,349,735,83.18000000000006,"Herndon, VA 20170",30.625,816.37,204990.0,,1450.0,28,12913 Alton Sq #304 ,170.82500000000002,1366.82,1996,20170
3,3,95,1454,42.16000000000031,"Herndon, VA 20170",60.583333333333336,1573.09,395000.0,,2100.0,28,1123 Cypress Tree Pl ,329.1666666666667,2057.8399999999997,1995,20170
2,2,204,888,-231.8166666666666,"Washington, DC 20009",37.0,2469.15,620000.0,,2995.0,28,1793 Lanier Pl NW #3 ,516.6666666666666,3226.8166666666666,2012,20009
"3,5",4,,2340,166.82333333333327,"Herndon, VA 20170",97.5,1931.51,485000.0,,2600.0,28,1145 Artic Quill Rd ,404.1666666666667,2433.1766666666667,1983,20170
"2,5",3,,1280,-1618.6833333333334,"Washington, DC 20009",53.333333333333336,3982.1,999900.0,,3250.0,28,1731 Hobart St NW ,833.25,4868.683333333333,1931,20009
"3,5",5,4,,-2.966666666666697,"Herndon, VA 20170",80,1752.3,440000.0,,2200.0,28,1004 Windcroft Glen Ct ,366.6666666666667,2202.9666666666667,1977,20170
2,4,,2008,-1603.1733333333332,"Washington, DC 20001",83.66666666666667,3902.84,980000.0,,3200.0,28,2717 11th St NW ,816.6666666666666,4803.173333333333,1910,20001
1,1,981,975,-875.3283333333334,"Washington, DC 20009",40.625,2190.37,550000.0,,2795.0,28,2039 New Hampshire Ave NW #204 ,458.3333333333333,3670.3283333333334,1909,20009
2,4,,1834,86.06999999999971,"Herndon, VA 20170",76.41666666666667,1891.68,475000.0,,2450.0,28,803 Elden St ,395.8333333333333,2363.9300000000003,1900,20170
1,1,314,720,40.8566666666668,"Washington, DC 20001",30.0,1294.31,325000.0,,1950.0,28,66 New York Ave NW #105 ,270.8333333333333,1909.1433333333332,1925,20001
1,1,474,700,-23.839999999999918,"Washington, DC 20009",29.166666666666668,1174.84,295000.0,,1900.0,28,2801 Adams Mill Rd NW #207 ,245.83333333333334,1923.84,1926,20009
3,4,303,1940,,"Washington, DC 20001",80.83333333333333,3142.19,789000.0,,,28,211 Morgan St NW #1 ,657.5,4183.5233333333335,1911,20001
"2,5",3,614,1490,-1109.8500000000004,"Washington, DC 20009",62.083333333333336,3583.85,899900.0,,3900.0,28,1662 Beekman Pl NW Unit A ,749.9166666666666,5009.85,1977,20009
2,2,297,1450,,"Washington, DC 20001",60.416666666666664,2962.98,744000.0,,,28,211 Morgan St NW #2 ,620.0,3940.3966666666665,1911,20001
2,2,868,1164,-1345.9266666666672,"Washington, DC 20009",48.5,3580.26,899000.0,,3900.0,28,1801 16th St NW #311 ,749.1666666666666,5245.926666666667,1917,20009
1,1,366,652,-483.8900000000003,"Washington, DC 20001",27.166666666666668,1811.64,454900.0,,2100.0,28,2120 Vermont Ave NW #221 ,379.0833333333333,2583.8900000000003,2006,20001
1,1,357,462,-189.55666666666684,"Washington, DC 20009",19.25,1334.14,335000.0,,1800.0,28,2440 16th St NW #519 ,279.1666666666667,1989.5566666666668,1929,20009
2,4,,1751,-163.81166666666695,"Falls Church, VA 22042",72.95833333333333,2349.27,589900.0,,2750.0,28,6814 Jefferson Ave ,491.5833333333333,2913.811666666667,1945,22042
"2,5",2,175,1261,-434.5983333333329,"Washington, DC 20001",52.541666666666664,2982.89,749000.0,,3400.0,28,1719 5th St NW Unit B ,624.1666666666666,3834.598333333333,1915,20001
2,2,537,1046,-1280.2733333333335,"Washington, DC 20009",43.583333333333336,3142.19,789000.0,,3100.0,28,1619 R St NW #601 ,657.5,4380.2733333333335,1914,20009
"2,5",4,,1518,-480.5100000000002,"Falls Church, VA 22042",63.25,2329.76,585000.0,,2400.0,28,3115 Cofer Rd ,487.5,2880.51,1950,22042
2,2,602,936,-775.8033333333333,"Washington, DC 20001",39.0,2588.22,649900.0,,2995.0,28,811 4th St NW #819 ,541.5833333333334,3770.8033333333333,2007,20001
2,2,203,1050,-714.3266666666664,"Washington, DC 20009",43.75,2863.41,719000.0,,2995.0,28,1303 Clifton St NW #4 ,599.1666666666666,3709.3266666666664,1900,20009
1,3,,1170,-59.210000000000036,"Falls Church, VA 22042",48.75,1827.96,459000.0,,2200.0,28,3300 Graham Rd ,382.5,2259.21,1954,22042
"1,5",3,,1448,-588.9133333333334,"Washington, DC 20001",60.333333333333336,3166.08,795000.0,,3300.0,28,23 Randolph Pl NW ,662.5,3888.9133333333334,1895,20001
3,4,,3498,-6935.48,"Washington, DC 20009",145.75,7682.23,1929000.0,,2500.0,28,1615 Riggs Pl NW ,1607.5,9435.48,1885,20009
1,2,236,851,129.18499999999995,"Falls Church, VA 22042",35.458333333333336,1095.19,275000.0,,1725.0,28,7757 New Providence Dr #64 ,229.16666666666666,1595.815,1984,22042
"3,5",4,,2700,-316.5100000000002,"Washington, DC 20001",112.5,3978.51,999000.0,,4607.0,28,1803 4th St NW ,832.5,4923.51,1906,20001
"1,5",1,388,955,-514.4416666666666,"Washington, DC 20009",39.791666666666664,2548.4,639900.0,,2995.0,28,1907 Kalorama Pl NW #16 ,533.25,3509.4416666666666,1995,20009
2,4,,1422,156.92000000000007,"Falls Church, VA 22042",59.25,1971.33,495000.0,,2600.0,28,2916 Irvington Rd ,412.5,2443.08,1946,22042
1,1,254,675,,"Washington, DC 20001",28.125,2189.97,549900.0,,,28,1628 11th St NW Unit 406 ,458.25,2930.345,2017,20001
2,2,350,875,-997.185,"Washington, DC 20009",36.458333333333336,2568.31,644900.0,,2495.0,28,2301 Champlain St NW #314 ,537.4166666666666,3492.185,2004,20009
"3,5",5,,2716,-597.2766666666666,"Falls Church, VA 22042",113.16666666666667,3046.61,765000.0,,3200.0,28,3001 Greenway Blvd ,637.5,3797.2766666666666,2004,22042
3,3,,3012,-3506.4766666666674,"Washington, DC 20001",125.5,5276.81,1325000.0,,3000.0,28,1419 10th St NW ,1104.1666666666667,6506.476666666667,1900,20001
1,2,430,866,-446.23,"Washington, DC 20009",36.083333333333336,2050.98,515000.0,,2500.0,28,2412 17th St NW #104 ,429.1666666666667,2946.23,1910,20009
2,2,,1090,-104.03999999999996,"Falls Church, VA 22042",45.416666666666664,1867.79,469000.0,,2200.0,28,3203 Rollin Rd ,390.8333333333333,2304.04,1954,22042
1,1,604,1180,-971.79,"Washington, DC 20001",49.166666666666664,2289.54,574900.0,,2450.0,28,437 New York Ave NW Unit Y31 ,479.0833333333333,3421.79,2008,20001
